club_name,address
Barrington Hills CC,300 West County Line Rd. Barrington IL 60010
Biltmore CC,160 Biltmore Drive North Barrington IL 60010
Birchwood,1174 Park Avenue West Highland Park IL 60035
Briarwood,455 Waukegan Rd. Deerfield IL 60015
Bryn Mawr,6600 N. Crawford Lincolnwood  IL 60712
Butterfield,2800 Midwest Road Oak Brook IL 60523
Chicago Highlands,2 Bluebird Trail Westchester IL 60154
Dunham Woods,33w333 Army Trail Rd Wayne IL 60184
Edgewood Valley,7500 Willow Springs Rd LaGrange IL 60525
Evanston,4401 Dempster Skokie IL 60076
Exmoor,700 Vine Ave Highland Park IL 60035
Glen Ellyn,845 Pershing Ave Glenn Ellyn IL 60137
Glen Oak,21W451 Hill Ave Glen Elyn IL 60137
Glen View,100 Golf Rd Golf IL 60029
Glenbrook RC,1835 Raymond Dr Northbrook IL 60062
Hawthorn Woods,1 Tournament Drive North Hawthorn Woods IL 60047
Hinsdale GC,140 Chicago Avenue Clarendon Hills IL 60514
Hinsdale PC,60th St and County Line Road Hinsdale IL 60521
Indian Hill,One Indian Hill Road Winnetka IL 60093
Inverness,102 N. Roselle Inverness IL 60067
Knollwood,1890 N Knollwood Road Lake Forest IL 60045
Lagrange CC,620 S Brainard Ave La Grange IL 60525
Lake Bluff,355 W Washington Ave. Lake Bluff IL 60044
Lake Forest,554 N Westmoreland Road Lake Forest IL 60045
Lake Shore CC,1255 Sheridan Road Glencoe IL 60022
Lakeshore S&amp;F,1320 W Fullerton Ave Chicago IL 60614
Lifesport-Lshire,96 N. Elm Road lincolnshire IL 60069
Medinah,6N001 Medinah Rd Medinah IL 60157
Michigan Shores,911 Michigan Ave. Wilmette IL 60091
Midt-Bannockburn,2211 Waukegan Road Bannockburn IL 60015
Midtown - Chicago,2455 N Elston Chicago IL 60647
North Shore,1340 Glenview Road Glenview IL 60025
Northmoor,1131 Clavey Rd Highland Park IL 60035
Oak Park CC,2001 North Thatcher Ave River Grove IL 60171
Onwentsia,300 North Greenbay Road Lake Forest IL 60045
Park Ridge CC,636 N. Prospect Avenue Park Ridge IL 60068
Prairie Club,2800 West Lake Avenue Glenview IL 60026
River Forest CC,15W468 Grand Ave Elmhurst IL 60126
River Forest PD,7900 Central Avenue River Forest IL 60305
Royal Melbourne,4700 Royal Melbourne Drive Long Grove IL 60047
Ruth Lake,6180 S. Madison St. Hinsdale IL 60521
Saddle &amp; Cycle,900 W Foster Ave Chicago IL 60640
Salt Creek,830 N. Madison St. Hinsdale IL 60521
Skokie,701 Prairie St. Glencoe IL 60022
South Barrington,3 Tennis Club Ln South Barrington IL 60010
Sunset Ridge,2100 Sunset Ridge Road Northfield IL 60093
Tennaqua,1 Tennaqua Lane (Deerfield Rd. &amp; Castlewood Rd.) Deerfield IL 60015
Valley Lo,2200 Tanglewood Drive Glenview IL 60025
Westmoreland,2601 Old Glenview Rd Wilmette IL 60091
White Eagle,3400 Club Drive Naperville IL 60564
Wilmette PD,3551 Lake Ave Wilmette IL 60091
Winnetka,490 Hibbard Road Winnetka IL 60093
Winter Club,956 North Sheridan Road Lake Forest IL 60045
